,income_50k
9936,0
100041,0
58825,0
49691,0
70636,0
66284,0
181150,0
81236,0
133451,0
159873,0
176648,0
28328,0
55081,0
119405,0
101777,0
111564,1
121188,0
36993,0
179162,0
35084,0
135162,0
132872,0
26358,0
52626,0
179128,0
79651,1
5968,0
71943,0
63077,0
192716,0
146027,0
78229,0
80061,0
74288,0
195034,0
181789,0
139346,0
59930,0
3840,0
67522,0
143500,0
115309,1
96508,0
153357,0
18547,1
154121,1
126235,0
170896,0
62323,0
150486,0
183241,0
189432,0
165359,0
128634,1
186891,0
74130,0
85305,0
82612,1
31816,0
110345,0
165084,0
73110,0
6811,1
195019,0
122584,0
21928,0
175294,0
74598,0
124749,0
125543,0
87431,0
102939,0
48340,0
9660,0
93931,0
60488,0
93178,0
27258,0
112266,0
53873,0
97459,0
12328,0
57351,0
168329,0
143884,0
11923,0
127053,0
107640,0
140290,0
196653,0
119260,0
145331,1
72594,0
34105,0
150897,0
10075,0
26982,0
139693,0
32035,0
26160,0
124633,0
136392,0
18920,0
124834,0
150013,0
79123,0
138586,0
138160,0
75037,0
79810,0
81402,0
102190,0
101204,0
192582,0
44578,0
150597,0
107841,0
95304,1
109046,0
165730,0
31755,0
34795,0
47062,0
26486,0
119419,0
43682,0
36581,0
72960,0
61375,0
81016,0
106345,0
189648,1
93235,0
137654,0
143189,0
198794,0
72770,0
18670,0
105456,0
59898,0
46319,0
90161,0
61192,0
152293,0
7939,0
185084,0
161545,0
169606,0
58068,0
82974,0
119273,0
125327,0
166942,0
153921,0
2522,0
141406,0
119461,0
119169,0
68267,0
170871,0
114019,0
198190,0
192269,0
171525,0
141780,0
140819,0
9945,0
165010,1
42860,0
23690,0
195401,0
130826,0
93175,0
99328,0
75016,0
149656,0
75778,0
41877,0
154705,0
87725,0
149288,0
179986,0
34772,0
18632,0
88797,0
129010,0
89422,0
120963,0
177731,0
108963,0
176960,0
139457,0
45139,0
7871,1
154096,0
133807,0
117298,1
1086,1
155613,0
95611,0
95269,0
188881,0
148567,0
108616,0
37590,0
68506,0
54724,0
32998,0
104308,0
32317,0
76174,0
3619,0
130806,1
87575,0
77844,0
11766,0
86755,0
153575,0
68831,0
102295,0
17300,0
33610,0
150735,0
40641,0
138423,0
82856,0
191609,1
125276,0
73341,0
37920,0
36643,0
144899,0
175917,0
97158,0
167819,0
77573,0
19565,0
142385,0
31272,0
133773,0
32947,1
23845,0
182318,0
107229,0
146366,0
5932,0
79865,0
2208,0
103165,0
17355,0
6851,0
45091,0
101731,0
19124,0
106277,0
12414,0
188900,0
20390,0
124583,0
180048,0
96260,0
110400,1
13125,0
41,0
158502,0
185996,0
68559,0
106784,0
55078,0
186707,0
108717,0
42677,0
29766,0
196515,0
186523,0
47183,0
170697,0
165806,0
85788,0
27444,0
59161,0
138803,0
191530,0
29189,0
15008,0
155760,0
95072,0
134332,0
113833,0
60924,0
40099,1
98531,1
46132,0
123371,0
153819,0
52673,0
1469,0
157458,0
182222,0
142855,0
100903,0
10345,0
166558,0
59066,0
40800,0
165503,0
66524,0
148124,0
56640,0
161005,0
104699,0
153302,0
141021,0
52892,0
156225,0
101788,0
136199,0
135975,0
172875,0
134611,0
39833,0
64279,0
90003,0
174926,1
123492,0
168227,0
76288,0
162585,0
30325,0
35315,0
94555,0
159112,0
53060,0
152616,0
189502,0
96718,1
77465,0
81171,0
179438,1
87922,0
30382,0
4975,0
130955,0
43135,0
165800,0
163233,0
165337,0
112617,0
168002,0
6782,0
13224,0
95939,0
67908,0
119452,0
154776,0
77129,0
5255,0
173741,0
91061,0
116237,0
141794,0
98322,1
47772,0
136221,0
71926,0
12786,0
192041,0
110696,0
116366,0
21775,0
29983,0
179136,0
95720,0
40706,0
151083,0
84291,0
125929,0
9490,0
82811,0
79384,0
61863,0
104493,0
175400,0
109102,0
60138,1
63963,0
20480,0
61415,0
22605,1
35057,0
6015,1
22934,0
37345,0
12462,0
87627,0
4843,0
51320,0
24481,0
57459,0
137369,0
111367,0
69908,0
23892,0
48579,0
1351,0
155589,0
22363,1
96044,0
105332,0
49966,0
19759,0
23410,0
125779,0
107203,0
90000,0
174688,0
56748,0
82159,1
176493,0
149659,0
71646,0
198100,0
39389,0
176054,0
139037,0
164085,0
49753,0
124106,1
11664,0
147347,0
133103,0
17754,0
166486,1
80739,0
155437,1
6573,0
145071,0
91289,0
137580,0
8741,0
80747,0
8159,0
80829,0
157334,0
49028,0
178101,0
164162,0
113615,0
190737,0
109652,0
167898,0
122712,1
129461,0
90564,0
53344,0
19320,0
74189,0
75982,0
65862,1
147727,0
33939,0
44455,0
161010,0
79473,0
147248,0
33497,0
86832,0
167264,0
185898,0
36482,0
188111,0
96817,0
170562,0
127308,0
54534,0
73149,0
91272,0
80045,0
143508,0
103222,0
50862,0
50461,0
127494,0
14455,0
128116,0
13383,0
164312,0
101636,0
158195,0
178025,0
27703,0
149730,0
40586,0
27846,0
138926,0
108361,0
159821,1
50784,1
50007,0
109822,0
173776,1
168707,0
953,0
18695,0
17404,1
183615,0
10888,0
149643,0
80694,1
137380,0
89350,0
172023,0
146220,0
78094,0
135586,0
188801,0
161701,0
55522,1
63721,0
35159,0
17014,0
182871,0
61514,0
45506,0
62072,0
162064,0
32907,0
92339,0
536,0
65913,0
115591,0
183845,1
139464,0
194531,0
50863,0
191915,0
110053,0
136139,0
97099,0
174146,0
196729,0
186342,0
148194,0
150986,0
11157,0
69499,0
64968,0
107746,0
100588,0
179097,0
187169,0
128483,0
98925,0
728,0
121479,1
105089,0
191824,0
191177,0
9250,0
158754,0
109597,0
66041,0
31451,0
142774,1
116286,0
54696,0
100904,0
134484,0
89489,0
162150,0
171615,0
95462,0
100924,0
92530,1
135447,0
56461,0
118195,0
22182,0
138467,0
118271,0
17321,0
149311,0
146785,1
142637,0
79270,0
47690,0
94167,1
120461,0
21834,0
62623,0
16950,0
122139,0
65879,0
68642,0
45017,1
134926,1
195398,0
181703,0
186147,0
172268,0
135493,0
56375,0
39465,0
52524,0
181981,0
39643,0
139672,0
37062,0
1154,0
178522,0
157600,0
89659,0
87641,0
21303,0
195196,0
36603,0
158153,0
88651,0
156466,1
4995,0
10924,0
182839,0
178188,0
7435,0
189288,0
61290,0
43667,0
15577,1
70996,1
192214,1
73221,0
50779,0
57392,0
195510,0
118269,0
74730,0
148518,0
126868,0
130714,0
184934,0
154443,0
108808,0
148860,1
178608,0
195105,0
137933,0
99634,0
181835,0
175965,1
171771,1
133417,0
172525,0
77133,0
197713,1
153046,0
16312,0
106503,0
169632,0
50093,0
78233,0
102415,0
30725,0
176926,0
22508,0
159938,0
197985,0
130960,0
68452,0
87717,1
100543,0
197493,0
131474,0
24525,0
172376,1
28336,0
118970,1
5947,0
162505,0
51096,0
133401,0
125392,0
194149,0
97207,0
184857,0
29717,0
89513,0
76036,0
97823,0
98419,0
89450,0
105552,0
74602,0
119932,0
138254,0
38934,0
94465,0
143537,0
50173,0
117407,0
42331,0
13522,0
115702,0
796,0
24469,1
188288,0
79819,0
15946,0
1297,0
146752,0
127316,0
41324,1
106283,0
155681,0
15600,0
19095,0
115938,0
165971,0
31756,0
5646,0
97027,0
101345,0
59444,0
20824,0
53547,0
10495,0
147674,0
4932,0
52113,0
55788,0
153957,0
42758,0
14646,0
22353,0
120948,0
84702,0
93816,0
42601,0
124018,1
12295,0
192261,0
83408,0
135801,0
142488,0
119039,0
17923,1
181702,0
48773,0
79784,0
75969,0
4637,0
128486,0
116973,0
56658,0
151627,0
187201,0
113556,0
94227,0
99543,0
75161,0
121254,0
74278,0
97051,0
116644,0
27069,0
101352,0
179200,0
181326,0
197725,1
21641,0
63659,0
150476,0
80401,0
178184,0
40062,0
155107,0
61054,0
190736,0
139124,0
12707,0
54260,0
9975,0
191682,0
80236,0
119205,0
53381,0
52905,0
88265,0
159531,0
116475,0
132302,0
32611,0
91802,0
88810,0
87755,0
18308,0
181167,0
66609,0
66359,0
198359,0
4374,0
39940,1
112383,0
70655,0
125565,0
2825,0
72258,1
101385,0
55198,0
105529,0
65634,0
139628,0
142079,0
59986,0
12904,0
31320,1
173650,0
8921,1
52439,0
143747,0
65467,1
12863,0
47231,0
61813,0
54557,0
115276,0
160550,0
188996,0
80900,0
117139,0
17934,1
162631,0
66944,0
157962,0
85609,1
77036,0
149403,0
187352,0
8381,1
115472,0
192938,0
94709,0
126465,0
127675,0
71298,0
8342,0
45548,0
185497,0
24433,0
18004,0
39948,0
116398,0
98465,0
26352,0
36639,0
187983,0
10585,0
50792,0
59791,0
159892,0
67621,0
39480,0
136465,0
67912,0
121094,0
9499,0
170491,0
44167,0
184770,0
184827,0
82892,0
160960,0
144868,0
94074,0
77040,0
94349,0
59202,0
48670,0
106569,0
172334,0
62807,1
7465,0
70111,0
168481,0
161146,0
50787,0
71696,0
85239,0
178091,0
65180,0
35906,0
39815,0
107250,0
95195,0
78116,0
160618,0
142799,0
122324,0
44643,0
144077,0
137001,0
198548,0
192096,0
169652,0
73246,0
73455,1
151142,0
118375,0
106312,0
42106,0
15833,0
42684,0
37652,0
77709,1
157133,0
33914,0
181093,0
77106,0
72714,0
84680,0
153019,0
33139,0
77107,0
110153,0
37082,0
159360,0
182372,0
98576,0
173947,0
7792,0
173930,0
76857,0
194923,1
27566,0
36758,1
108439,0
155996,0
18307,0
90151,0
146308,0
88777,0
141890,0
146482,0
79165,0
107842,0
69221,0
61024,0
20332,0
13351,0
129274,0
190530,0
128062,0
69587,1
116685,0
18340,0
3,0
107146,1
137025,0
12921,0
149442,0
41480,0
155491,0
129780,0
156078,0
168167,0
191553,0
142607,1
159599,0
167420,0
40708,0
182827,0
75780,0
88813,0
128408,0
23777,0
6759,0
164425,0
116446,0
85594,0
103857,0
128916,0
162111,0
190681,0
98846,0
106858,0
28069,0
28708,0
179888,0
3945,0
152469,0
29904,0
37049,0
100733,0
61383,0
188566,0
37809,0
129318,0
12507,0
92371,0
108431,1
107952,0
7133,0
47564,0
130226,0
139843,0
169005,0
1978,0
41256,1
138764,0
158271,0
166066,0
74340,0
171340,0
177831,0
59980,0
87023,0
53021,0
148366,0
169750,0
8888,1
166960,0
263,0
15266,0
87175,0
188173,0
15301,0
2925,1
128692,0
123635,0
7276,0
194471,0
102813,0
3048,0
177281,0
33771,0
57375,0
51984,0
178324,0
41692,0
74510,0
155043,0
167797,0
43482,0
106688,0
115959,0
87309,0
68090,0
131572,0
168873,0
48511,0
62653,0
45822,0
155414,0
171949,0
186136,0
83052,0
138151,0
83073,0
196527,0
170033,0
191264,0
158513,0
44540,1
92719,0
130416,0
118832,0
163901,0
194259,0
94783,0
131298,0
160122,0
33190,1
47244,0
155068,0
15411,0
159609,0
102530,0
524,0
59523,0
109388,0
106637,0
62932,0
67270,0
65191,0
119693,0
36200,0
15780,0
22169,0
99396,0
89298,0
54438,0
27587,0
26416,0
55418,0
88671,0
155937,0
175539,0
10565,0
130905,0
25365,0
192738,0
9730,0
195637,0
87752,0
141020,0
184483,0
15281,0
185822,0
182617,0
35794,0
106574,0
146886,0
162586,0
65638,0
144221,0
140839,0
178628,0
131337,0
40757,0
168271,0
88133,0
126816,0
57593,0
186481,0
55001,0
119225,0
11686,0
77327,0
191185,0
62828,0
197458,0
2677,0
176843,1
25071,0
151374,0
105187,0
79318,0
5916,0
24514,0
144746,0
72204,0
192917,0
9727,0
156368,0
58524,0
141032,0
13413,0
59691,0
136865,0
87110,0
46126,0
95686,0
12359,0
193477,0
5022,0
49673,0
63660,0
156309,0
110417,0
195073,0
116899,0
187916,0
39390,1
194013,0
46712,0
85536,0
48996,1
90454,1
22452,0
36242,0
103303,0
123550,0
90598,0
126766,0
48517,0
2197,0
133341,0
113969,0
124204,0
48389,0
21853,0
98365,0
88128,0
92533,0
69533,0
104882,0
79813,0
118305,1
136967,0
13609,0
118359,0
60425,0
128330,0
192278,1
180962,0
66696,0
178094,0
133161,0
14648,0
39678,0
73289,0
30156,0
94743,0
11006,0
18918,0
139077,0
116833,0
109240,0
138703,0
144250,0
155054,0
89654,0
46860,0
40425,0
90656,0
56588,1
104226,0
74462,0
183990,1
37265,0
67989,0
21666,0
49325,0
155355,0
179772,0
169473,0
7904,0
141640,0
7309,0
162353,0
122884,0
66223,0
105795,0
49239,0
199046,0
158130,0
68502,0
112675,0
75591,0
113083,0
40304,0
21954,0
197155,0
194642,0
81573,0
25276,0
178036,0
169434,0
77062,0
155064,0
82178,0
108861,0
109030,0
178041,0
96386,0
159284,0
173886,0
168553,0
150388,0
101923,0
155732,1
141274,0
101733,0
146268,0
78188,0
142879,0
171924,0
82646,0
57290,0
21046,0
125610,0
159408,0
135598,0
111235,0
146863,0
57241,0
156086,1
156625,0
61505,0
58296,0
54747,0
156659,0
94472,0
5738,0
180129,0
8385,0
118889,0
13623,0
106320,0
181709,0
101548,1
199521,0
160035,0
94301,0
164506,0
115955,0
46837,0
196222,0
180632,0
150783,0
75251,0
113106,0
100277,0
5590,0
2188,0
48998,0
22791,0
93153,0
52209,0
42361,1
173121,1
182640,1
167072,0
106377,1
2565,0
109433,0
186167,0
31085,0
179504,0
88138,0
125262,0
37275,1
197347,0
139412,0
100124,0
79824,0
69914,0
171686,0
158179,0
45638,0
6267,1
90238,0
177306,0
66063,0
16828,0
199193,0
98099,0
190739,0
84862,0
171099,0
188235,0
20029,0
50537,0
139311,0
91064,0
90249,0
169571,0
126053,0
141610,0
72669,0
117209,0
141720,0
102925,0
101384,0
76678,0
6398,0
164117,1
197004,0
87992,0
161288,0
40031,0
28642,0
77861,0
108452,0
77261,0
160740,0
102385,0
25112,0
49372,0
138813,0
165398,0
163017,0
81227,0
165051,0
80425,0
169082,0
77434,0
90490,0
134408,0
47740,0
23700,0
57221,0
92730,0
114713,0
166509,0
164757,0
47562,0
59978,0
153053,0
62315,0
119981,0
42546,0
99029,0
12082,0
12101,1
25226,0
71416,0
75461,0
21574,0
34633,0
43413,0
14743,0
195446,0
194877,0
59677,0
106610,1
69767,0
116587,0
152050,0
67935,0
66697,0
13693,0
195851,0
28282,0
68948,0
21693,0
190364,0
101098,0
120131,0
27625,0
4626,0
19258,0
8791,0
83637,0
111751,0
198291,0
151181,0
198286,0
119905,0
124422,0
152746,1
150533,0
13873,0
86223,0
141576,0
195470,0
147081,0
154925,0
40814,0
64640,0
18745,0
12182,0
175205,0
127021,0
124822,0
22246,0
48271,1
61766,0
135506,0
53887,0
111814,0
163159,0
47273,0
71598,0
143179,0
130031,0
174136,0
141741,0
56306,0
139153,0
173568,0
115049,0
54220,0
187479,0
113690,0
165282,0
82281,0
61407,0
112248,0
121259,0
167847,0
34089,0
196246,0
11840,0
9429,1
15947,0
176850,0
3832,0
166308,0
170483,0
106202,0
119261,1
18362,0
160925,0
137039,0
42610,0
57028,0
174170,0
146792,1
52665,0
169929,0
89429,0
127678,0
11576,0
107144,0
158857,0
129603,0
143764,0
88939,0
70429,0
153211,0
61459,0
105139,0
63202,0
67994,1
85562,0
188570,0
181640,0
122406,0
172640,0
155931,0
29508,0
155152,0
196038,0
108969,0
94481,0
83836,0
186502,0
39836,0
107028,0
17598,0
133816,0
63308,0
41499,0
135478,0
163535,0
120343,0
6229,0
194762,0
7387,0
154966,0
164141,0
81263,0
11503,0
122152,0
7206,0
75705,0
173493,0
148256,0
153561,0
184153,0
137599,0
164559,0
187547,0
51148,0
76383,0
180896,0
124948,0
98135,0
61568,0
181729,0
80197,0
190168,0
14257,0
171521,0
195358,0
198420,0
70929,0
86022,0
130786,0
22107,0
179539,0
127987,0
100058,0
104536,1
37954,0
90851,0
102136,0
184228,1
53880,0
86078,0
8586,0
130037,0
74427,0
136310,1
103444,0
87630,0
46498,0
113118,0
183970,0
180975,0
36127,0
186198,0
159861,0
97282,0
181922,0
120810,0
172048,0
143574,0
198429,0
55330,0
131074,0
14278,0
102626,0
172414,0
131934,0
17553,0
112717,0
45113,0
197256,0
114750,0
89713,0
15063,0
129361,0
1479,0
163042,0
25897,0
132454,0
31898,0
185492,1
147042,0
1259,0
81614,0
20316,0
82205,0
46247,0
34042,0
76172,0
10281,0
90632,0
90275,0
166813,0
23238,0
36688,0
53516,0
70569,0
181947,0
178852,1
85249,0
132691,0
49720,0
190309,0
148669,0
143762,0
95145,0
141703,0
58693,0
115261,0
120759,0
118401,0
30322,0
40725,0
95332,0
67425,0
104176,0
129275,0
197892,0
52765,0
120439,0
21897,0
112702,0
141258,0
47070,0
15213,0
161546,0
160411,0
174151,0
15755,0
74148,0
96810,0
8142,0
32908,1
153794,0
90818,0
158673,0
126139,0
74690,0
48252,0
96979,1
166932,0
58465,0
85047,0
85337,0
195226,0
113981,0
118511,0
81007,0
146552,0
144477,0
190254,0
140696,0
60027,0
197161,0
113526,0
57631,0
129009,0
157669,0
85046,0
30147,0
73801,0
44058,0
43137,0
83868,0
39634,0
967,0
81547,0
5810,1
69790,0
129872,0
88584,1
169775,1
145969,0
38170,0
184428,0
127435,0
168888,0
48611,0
93282,0
163830,0
45043,1
61904,0
180285,0
19642,0
126849,0
114100,0
180640,0
127274,0
68053,0
124326,0
31262,0
44187,0
176728,0
38237,0
79521,0
46947,0
85345,0
87245,0
182962,0
175851,1
149635,0
4100,0
3855,0
93432,0
142903,0
66845,0
141073,0
14044,0
170764,0
5291,0
4300,0
94812,0
76900,0
18026,0
191594,0
107647,0
42285,0
127030,0
9575,0
48480,0
691,0
172298,0
176456,0
116588,0
170262,1
180440,0
155883,1
9048,0
11679,0
23249,0
12469,0
86851,0
53356,0
44193,0
69173,0
64109,0
23667,0
110127,0
188158,0
35275,0
192365,0
29753,0
62464,0
69257,0
48960,0
75748,0
115521,0
102146,1
9894,0
177895,0
114985,0
44897,0
55617,0
66170,0
199234,0
47675,1
41230,0
126913,0
52451,0
169831,0
102293,1
50009,0
195960,0
13494,1
111980,0
41973,0
154548,0
188455,0
42874,0
129042,0
141866,0
177162,0
99357,0
135246,0
149332,0
184301,0
140030,0
46084,1
109671,0
52826,0
78738,0
54997,0
118423,0
138179,0
170043,0
109506,0
26130,0
182959,0
67403,0
194798,0
132912,0
98682,0
71877,0
107364,0
27205,1
21586,0
43923,0
39431,1
38041,0
3310,0
58833,0
124031,0
156704,0
134576,0
6075,0
12808,0
151348,0
28676,0
8462,0
52766,0
65816,0
189950,0
187709,0
174569,0
122739,0
99193,0
198117,0
38291,0
839,0
114781,0
149803,0
14864,0
111268,0
52405,0
156156,0
81753,0
50400,0
113086,0
22161,0
182929,0
116952,0
46929,0
105108,1
190524,0
166295,0
75647,0
111132,0
127566,0
1822,0
169674,0
196926,0
82066,0
76696,0
29086,0
111585,0
4936,1
134413,0
85326,0
107959,0
57066,0
97579,0
157263,0
168280,0
73588,0
94405,0
118802,0
188340,0
8600,0
174574,0
104318,0
23148,0
102566,0
41332,0
160694,1
26964,0
55130,0
158223,0
118700,0
35620,0
173260,0
26610,0
70173,0
28198,0
125533,0
111733,0
192846,0
26719,0
128695,1
21694,0
22715,0
85503,0
34497,1
76592,0
180039,0
84903,0
26682,0
67751,0
28365,0
174691,0
12285,0
191133,1
184754,0
179575,0
60616,0
181938,0
175541,0
171514,0
137938,0
167501,0
153857,0
55598,0
161447,0
31764,0
13336,0
180162,0
119026,0
10746,0
116515,0
76630,0
114001,0
152936,0
101177,0
122887,0
74414,0
151134,0
189686,0
53673,0
173351,0
6874,0
87222,1
88292,0
88088,1
36801,0
196331,0
6999,0
74539,0
8001,0
3701,0
121838,0
141443,0
120535,0
121922,0
135688,0
137849,0
122641,0
36491,1
50226,1
197282,0
56164,0
76435,0
61267,0
11190,0
45788,0
101872,0
83486,0
121668,0
69366,0
18659,0
169163,0
170113,0
170830,0
114488,0
191019,0
164840,1
43589,0
25814,0
143642,0
115619,0
123441,0
184762,0
37182,0
41838,0
51084,0
38799,0
129738,0
89591,0
175016,0
56601,0
183875,0
187165,0
88480,0
68676,0
111077,0
55279,0
82342,1
30158,0
122391,0
29705,0
128167,0
151100,0
95357,0
160517,0
5429,0
153058,0
75405,0
70811,0
197304,0
3399,0
118447,0
88825,0
96112,0
112842,0
20354,1
87469,0
43751,0
154200,1
180339,1
151549,0
72005,0
199249,0
86015,0
56142,0
167184,1
148198,0
128484,0
38506,0
34120,1
171702,0
172982,0
75545,0
144461,0
37528,0
123488,0
51469,0
123618,0
76183,0
82247,0
139023,0
176568,0
173789,0
76936,0
116063,0
32145,0
68155,0
41138,1
189965,0
58313,0
29914,0
11450,0
88607,0
160338,1
50899,0
174920,0
89751,1
185968,0
842,0
42710,0
31358,0
81725,0
187572,0
15372,0
56157,0
83167,0
94891,0
116945,1
133553,0
41211,0
17766,0
95582,0
165256,0
108436,0
146710,0
129214,0
156462,0
135894,0
94533,0
150695,0
198589,0
30213,0
82642,0
109363,0
105883,0
144172,0
175669,0
144512,0
106415,0
42357,0
40135,0
27683,0
170549,0
177788,0
113349,0
191357,0
198672,0
29874,0
41753,0
198718,0
14764,0
33401,0
153149,0
17280,0
154432,0
48900,0
65351,0
100045,0
188504,0
37119,0
69860,0
151619,0
67393,0
21314,0
138412,0
1953,0
139000,0
147966,0
186612,0
81899,0
189551,0
185668,0
7617,0
77430,0
12333,0
82278,0
199238,0
133392,0
186770,0
49922,0
154993,1
140886,0
131720,0
6638,0
31375,0
62873,0
37096,1
44107,0
28202,0
184972,0
1568,0
173669,0
109885,0
56671,0
32493,0
63893,0
21592,0
149392,0
98468,0
127007,0
170777,0
184684,0
26836,0
106140,0
118932,0
184661,0
9943,0
186171,0
194724,0
68047,0
193414,0
144937,0
36987,0
174175,0
73143,0
122494,0
182997,1
84855,0
134317,0
163178,0
11505,0
188464,0
183913,0
32071,0
188721,0
90171,0
196694,0
66510,0
31835,0
161938,0
136835,1
146221,0
111231,0
135244,0
103464,0
152490,0
188118,0
107889,0
28494,0
38782,0
140572,0
174799,1
176107,0
169283,0
48062,0
19752,0
66848,0
18483,0
93087,0
85097,0
7213,0
60229,0
94392,0
175585,0
157121,1
157194,0
37820,0
114286,0
55319,0
107268,0
24138,0
82896,0
8414,0
76564,0
148947,0
21725,0
192544,0
121226,0
150989,0
114391,0
186988,0
143029,0
136368,0
106919,0
164102,1
46815,0
70553,0
96595,0
146157,0
3753,0
105872,0
159089,0
59615,0
109969,0
177681,0
137870,0
99274,0
133868,0
186692,0
171210,0
41645,1
173330,1
91678,0
77289,0
165286,0
104624,0
174389,0
109387,0
63692,0
5623,0
173724,0
12727,0
33371,0
13581,0
153502,0
74112,0
52659,0
94699,1
149217,0
75850,0
23438,0
15327,0
111351,0
23366,0
30695,0
13531,0
172280,0
183371,0
44982,0
123225,0
88030,0
197096,0
48082,0
183144,0
134590,0
17108,0
161104,0
118108,0
37211,0
87541,0
185671,0
136691,0
34514,0
109303,0
140316,0
34031,0
189024,0
79972,0
197586,0
112694,0
106698,0
56315,0
15492,0
183710,0
183968,0
131773,0
120895,0
168732,0
154440,0
108504,0
98287,0
171347,0
106524,0
19350,0
181844,0
179630,0
37965,0
72694,0
170508,0
40875,0
105397,0
197389,0
179368,0
188333,1
75568,0
147453,0
76257,0
103815,0
108876,0
185595,0
171656,0
141956,0
73764,0
2511,0
20536,0
156450,0
87237,0
199329,0
79898,0
52027,0
140379,0
167016,0
171505,0
115272,0
177677,0
85880,0
14992,0
3747,1
2148,0
86842,0
93306,0
120474,0
45875,0
54620,0
27998,0
69784,0
110161,0
103859,0
120127,0
47435,0
4443,0
41554,0
161621,0
199298,1
5094,0
48405,0
78916,0
72634,0
