,race,priors_count,age_cat_Greater than 45,age_cat_Less than 25,sex_Male,c_charge_degree_M
72,1,7.297618001230553,1,0,1,1
73,0,0.0,0,0,1,0
74,1,1.0811285927748968,0,0,1,0
75,1,1.0811285927748968,0,0,1,0
76,1,0.8108464445811726,0,0,1,1
77,1,0.2702821481937242,0,0,0,0
78,1,2.1622571855497936,0,0,1,1
79,0,0.2702821481937242,0,1,1,1
80,1,0.0,0,1,1,0
81,0,1.0811285927748968,0,0,1,0
82,0,1.351410740968621,0,0,0,0
83,1,0.2702821481937242,1,0,0,0
84,1,3.2433857783246904,0,0,1,0
85,1,1.6216928891623452,0,0,0,0
86,1,1.0811285927748968,0,0,1,1
87,1,0.0,0,1,1,0
88,0,0.0,0,1,1,1
89,1,2.1622571855497936,0,0,1,0
90,1,0.5405642963874484,0,1,1,0
91,1,4.0542322229058625,0,0,1,0
92,1,0.0,0,1,1,0
93,0,0.5405642963874484,0,0,1,1
94,1,0.0,0,0,0,0
95,0,0.5405642963874484,0,1,1,0
96,1,0.5405642963874484,0,0,1,0
97,1,0.0,0,0,1,1
98,1,0.8108464445811726,0,0,1,1
99,1,1.351410740968621,0,0,1,1
100,1,0.2702821481937242,0,1,1,0
101,1,0.0,0,0,1,0
102,1,0.2702821481937242,0,1,1,0
103,1,0.2702821481937242,0,0,0,0
104,1,3.5136679265184143,1,0,1,0
105,0,1.6216928891623452,0,0,1,0
106,1,2.1622571855497936,0,0,1,1
107,1,2.1622571855497936,0,0,0,0
108,1,2.702821481937242,0,0,1,0
109,0,0.2702821481937242,0,1,1,1
110,0,0.5405642963874484,0,0,1,1
111,1,0.8108464445811726,0,1,1,1
112,1,0.2702821481937242,0,0,1,0
113,1,0.0,0,0,1,0
114,1,0.0,0,0,1,0
115,0,0.0,0,0,1,0
116,0,0.5405642963874484,0,1,1,1
117,0,0.5405642963874484,0,1,1,1
118,0,0.8108464445811726,1,0,1,1
119,0,0.0,0,0,0,0
120,1,1.0811285927748968,0,0,1,0
121,1,0.5405642963874484,0,0,1,1
122,1,0.0,0,0,1,0
123,1,0.0,0,0,1,0
124,1,0.0,0,0,1,0
125,1,0.0,0,1,1,1
126,1,2.702821481937242,0,0,1,0
127,1,0.2702821481937242,1,0,1,0
128,1,3.7839500747121386,0,0,1,0
129,1,0.2702821481937242,0,0,0,0
130,1,1.6216928891623452,0,0,1,1
131,1,1.0811285927748968,1,0,1,1
132,1,1.6216928891623452,0,0,1,1
133,0,0.5405642963874484,0,0,1,1
134,0,0.2702821481937242,0,1,1,0
135,1,2.4325393337435175,0,0,1,0
136,0,0.5405642963874484,0,0,1,0
137,1,0.2702821481937242,0,0,1,0
138,1,0.2702821481937242,0,1,1,0
139,1,3.5136679265184143,0,0,1,1
140,1,0.5405642963874484,0,0,0,0
141,1,0.2702821481937242,0,0,1,0
142,1,2.1622571855497936,0,0,1,0
143,1,4.865078667487035,0,0,1,0
144,1,1.6216928891623452,0,1,1,0
145,1,0.0,0,0,1,1
146,1,4.865078667487035,1,0,1,1
147,1,2.1622571855497936,1,0,0,0
148,1,2.702821481937242,0,0,1,0
149,1,1.6216928891623452,0,0,1,0
150,1,1.6216928891623452,0,0,0,1
151,1,2.702821481937242,0,0,1,0
152,1,1.351410740968621,0,0,1,0
153,0,0.0,0,0,1,1
154,1,0.5405642963874484,1,0,1,0
155,1,0.0,0,1,1,0
156,1,0.0,0,0,1,0
157,0,1.0811285927748968,0,0,1,0
158,1,0.0,0,0,0,1
159,1,0.0,0,0,1,1
160,1,0.0,0,0,1,0
161,1,1.351410740968621,0,0,1,0
162,0,0.2702821481937242,0,1,1,0
163,0,1.351410740968621,0,0,0,0
164,1,0.0,0,0,1,0
165,1,0.8108464445811726,0,0,1,1
166,1,0.5405642963874484,0,0,0,1
167,0,0.2702821481937242,0,0,1,0
168,1,0.2702821481937242,0,1,1,0
169,0,0.2702821481937242,0,0,1,1
170,1,0.5405642963874484,0,1,1,1
171,1,1.8919750373560693,0,0,1,1
172,1,1.0811285927748968,0,1,1,0
173,1,2.1622571855497936,0,0,1,0
174,0,0.0,1,0,1,1
175,1,3.2433857783246904,1,0,1,1
176,0,0.5405642963874484,0,0,1,0
177,1,0.0,0,0,1,0
178,0,0.8108464445811726,0,1,1,0
179,0,0.0,0,0,1,0
180,1,1.351410740968621,0,0,1,1
181,1,1.6216928891623452,0,0,1,1
182,1,0.8108464445811726,0,0,1,0
183,1,0.0,0,0,1,0
184,1,0.0,0,0,0,0
185,0,0.0,0,1,1,0
186,1,2.1622571855497936,0,0,1,0
187,1,0.0,0,0,1,0
188,1,0.2702821481937242,0,1,1,0
189,0,0.5405642963874484,0,1,1,1
190,1,5.13536081568076,0,0,1,0
191,1,2.1622571855497936,0,0,1,0
192,0,0.8108464445811726,1,0,1,0
193,1,1.8919750373560693,1,0,1,1
194,0,2.702821481937242,0,1,1,0
195,1,0.2702821481937242,0,0,1,1
196,1,0.0,0,0,1,0
197,0,0.0,0,1,1,0
198,1,1.0811285927748968,0,0,0,1
199,1,0.8108464445811726,0,0,0,0
200,1,1.351410740968621,0,0,1,0
201,1,0.2702821481937242,0,0,0,0
202,0,0.0,0,0,1,0
203,1,0.5405642963874484,0,0,1,1
204,0,0.0,0,0,0,1
205,1,2.4325393337435175,0,0,1,0
206,0,0.5405642963874484,0,0,1,1
207,1,2.702821481937242,1,0,1,0
208,1,0.2702821481937242,0,1,1,1
209,0,0.0,0,0,1,0
210,1,0.8108464445811726,1,0,1,0
211,1,0.8108464445811726,0,0,1,0
212,0,1.6216928891623452,0,1,1,0
213,1,0.2702821481937242,0,1,1,1
214,0,2.4325393337435175,0,0,0,1
215,1,0.2702821481937242,0,0,1,0
216,0,2.973103630130966,0,0,1,1
217,0,0.0,0,0,1,0
218,0,0.5405642963874484,0,1,1,1
219,1,0.8108464445811726,0,0,1,1
220,0,0.2702821481937242,1,0,0,0
221,0,0.5405642963874484,1,0,1,1
222,1,0.2702821481937242,0,1,1,0
223,0,0.5405642963874484,1,0,1,0
224,0,0.2702821481937242,0,0,1,0
225,0,0.8108464445811726,1,0,0,0
226,1,0.2702821481937242,0,0,1,0
227,0,0.0,0,1,1,0
228,1,0.0,0,0,1,0
229,1,0.0,0,0,1,1
230,1,0.8108464445811726,1,0,1,1
231,1,0.5405642963874484,0,0,1,1
232,1,0.0,0,0,0,1
233,0,0.0,0,0,1,0
234,0,1.0811285927748968,0,0,1,0
235,0,0.2702821481937242,0,1,1,0
236,1,5.13536081568076,1,0,1,0
237,1,0.2702821481937242,1,0,1,0
238,1,3.7839500747121386,1,0,1,0
239,1,2.702821481937242,0,0,1,0
240,1,0.0,0,1,1,0
241,0,2.4325393337435175,0,0,1,1
242,1,0.8108464445811726,0,0,1,0
243,1,2.4325393337435175,1,0,1,0
244,1,0.8108464445811726,1,0,0,1
245,0,0.2702821481937242,0,0,1,0
246,0,0.0,0,0,1,1
247,1,0.5405642963874484,0,1,1,0
248,0,1.0811285927748968,0,1,1,1
249,1,0.8108464445811726,0,1,1,0
250,0,1.0811285927748968,0,0,1,1
251,1,1.351410740968621,0,0,1,0
252,1,0.0,0,0,1,0
253,0,0.0,0,0,1,1
254,1,1.0811285927748968,1,0,1,0
255,0,0.0,0,0,0,1
256,1,0.0,1,0,0,0
257,0,3.5136679265184143,0,0,1,0
258,0,0.0,0,0,1,0
259,1,0.2702821481937242,0,0,0,0
260,0,0.0,0,0,0,1
261,1,5.946207260261932,1,0,1,0
262,1,0.8108464445811726,0,1,1,0
263,1,2.1622571855497936,0,0,1,0
264,0,0.8108464445811726,1,0,1,1
265,0,0.0,0,0,1,1
266,1,0.0,0,0,1,1
267,0,0.2702821481937242,1,0,1,0
268,1,0.2702821481937242,0,0,1,1
269,0,0.0,0,1,1,1
270,1,0.2702821481937242,0,0,1,1
271,0,1.0811285927748968,0,0,1,0
272,1,0.2702821481937242,0,1,1,0
273,1,2.973103630130966,0,0,1,0
274,1,0.0,0,1,1,0
275,0,0.0,0,0,1,1
276,0,4.865078667487035,1,0,1,0
277,1,0.2702821481937242,0,1,1,0
278,1,1.0811285927748968,0,0,1,0
279,1,2.1622571855497936,1,0,1,1
280,0,0.5405642963874484,1,0,1,1
281,0,0.0,0,0,1,0
282,1,3.5136679265184143,0,0,1,0
283,1,1.8919750373560693,0,1,1,0
284,1,1.0811285927748968,0,0,1,0
285,1,0.8108464445811726,0,1,1,0
286,0,0.0,0,0,1,0
287,0,0.2702821481937242,1,0,1,0
288,1,0.0,1,0,0,0
289,1,0.2702821481937242,0,0,1,1
290,0,0.0,0,1,0,0
291,0,0.2702821481937242,0,0,1,1
292,1,1.351410740968621,0,0,1,0
293,0,0.0,0,1,1,0
294,1,0.5405642963874484,0,0,1,0
295,0,0.5405642963874484,0,1,1,0
296,1,1.351410740968621,0,0,1,0
297,1,0.2702821481937242,0,1,0,1
298,1,0.0,0,0,1,1
299,1,0.2702821481937242,0,1,1,1
300,1,0.2702821481937242,1,0,0,0
301,0,0.2702821481937242,0,0,1,0
302,0,0.0,0,1,1,0
303,1,3.5136679265184143,0,0,1,0
304,0,0.8108464445811726,1,0,0,0
305,0,1.0811285927748968,0,0,0,0
306,0,0.0,0,0,0,1
307,0,0.2702821481937242,1,0,1,0
308,1,1.351410740968621,0,0,1,1
309,0,0.2702821481937242,0,0,1,0
310,0,1.0811285927748968,1,0,1,1
311,1,0.0,0,1,1,0
312,1,0.2702821481937242,0,0,0,0
313,0,0.2702821481937242,0,0,1,1
314,1,0.0,0,1,1,0
315,1,4.0542322229058625,0,1,1,0
316,1,0.2702821481937242,1,0,0,0
317,1,0.5405642963874484,0,0,1,0
318,1,0.0,0,0,1,1
319,0,0.8108464445811726,0,0,0,0
320,1,0.2702821481937242,0,0,1,0
321,0,0.0,0,0,1,0
322,1,7.297618001230553,0,0,1,0
323,1,0.2702821481937242,0,0,1,0
324,1,0.5405642963874484,0,1,1,0
325,0,0.0,1,0,0,1
326,1,1.6216928891623452,0,0,0,0
327,1,0.5405642963874484,0,0,1,0
328,1,0.5405642963874484,0,0,1,0
329,1,0.2702821481937242,1,0,1,0
330,1,0.2702821481937242,0,1,0,0
331,0,1.0811285927748968,0,0,1,0
332,1,0.2702821481937242,0,1,1,0
333,1,0.0,0,0,1,1
334,0,1.0811285927748968,0,0,1,0
335,1,0.2702821481937242,0,1,1,0
336,0,0.8108464445811726,0,1,1,0
337,0,0.2702821481937242,1,0,1,0
338,1,0.2702821481937242,0,1,1,0
339,1,2.4325393337435175,0,0,1,0
340,1,2.4325393337435175,0,0,1,0
341,1,1.8919750373560693,0,0,1,0
342,1,0.0,1,0,1,1
343,0,1.351410740968621,0,0,1,0
344,1,0.5405642963874484,0,0,1,0
345,0,0.5405642963874484,0,0,0,0
346,1,2.4325393337435175,0,0,1,0
347,1,0.0,0,1,0,1
348,0,0.0,1,0,1,0
349,0,0.0,0,0,1,0
350,1,0.5405642963874484,1,0,1,1
351,1,0.0,0,1,1,0
352,0,0.0,0,0,1,1
353,1,0.0,0,1,1,1
354,0,0.0,1,0,1,1
355,1,2.1622571855497936,1,0,1,0
356,1,1.351410740968621,0,0,0,1
357,0,0.2702821481937242,1,0,1,0
358,1,0.5405642963874484,0,1,0,1
359,1,0.0,0,1,1,0
360,1,0.0,0,0,1,0
361,0,1.8919750373560693,1,0,0,0
362,0,0.0,0,1,1,0
363,0,0.0,0,0,0,1
364,0,0.0,1,0,1,0
365,0,0.0,1,0,1,0
366,1,4.0542322229058625,0,0,1,0
367,1,1.0811285927748968,0,0,0,0
368,0,0.5405642963874484,0,0,0,0
369,0,0.5405642963874484,0,0,1,0
370,1,0.2702821481937242,0,0,1,1
371,0,1.351410740968621,0,0,1,1
372,1,1.0811285927748968,0,0,1,1
373,1,0.8108464445811726,0,0,1,0
374,0,0.0,0,0,1,0
375,1,0.0,0,1,1,1
376,1,0.8108464445811726,0,0,1,0
377,0,1.0811285927748968,0,0,0,0
378,1,0.8108464445811726,0,1,1,1
379,0,0.0,0,1,1,0
380,1,2.973103630130966,0,0,1,0
381,1,4.0542322229058625,0,0,1,0
382,1,0.2702821481937242,0,1,1,0
383,0,0.0,0,1,1,1
384,0,0.2702821481937242,0,1,1,1
385,1,1.0811285927748968,0,0,0,1
386,0,0.2702821481937242,0,0,0,1
387,1,0.0,0,0,0,0
388,1,1.8919750373560693,0,0,0,0
389,1,0.5405642963874484,0,0,1,0
390,0,0.0,0,1,1,0
391,1,2.702821481937242,0,0,1,1
392,1,0.0,0,0,1,1
393,1,0.5405642963874484,0,0,1,0
394,1,5.13536081568076,0,0,1,0
395,0,0.0,1,0,1,1
396,1,0.0,0,0,0,0
397,1,0.2702821481937242,1,0,1,1
398,0,1.351410740968621,0,0,0,1
399,1,0.2702821481937242,0,1,0,0
400,1,0.5405642963874484,0,0,1,0
401,1,0.2702821481937242,0,0,1,0
402,1,0.0,0,1,0,0
403,0,0.5405642963874484,1,0,1,0
404,0,0.0,0,1,1,1
405,1,0.8108464445811726,0,0,1,0
406,1,1.351410740968621,0,0,1,1
407,0,0.0,0,0,1,1
408,0,0.0,0,1,1,1
409,0,0.0,0,0,1,0
410,1,0.2702821481937242,0,1,1,0
411,1,1.351410740968621,0,0,0,0
412,1,2.4325393337435175,0,0,1,0
413,1,0.0,0,1,0,1
414,1,0.5405642963874484,0,0,1,0
415,1,0.2702821481937242,0,0,0,1
416,1,3.7839500747121386,0,0,0,0
417,0,0.0,0,1,1,0
418,0,0.2702821481937242,0,0,0,0
419,0,0.5405642963874484,1,0,1,0
420,1,5.13536081568076,0,0,1,1
421,0,3.7839500747121386,0,0,1,0
422,1,1.6216928891623452,0,0,1,0
423,0,0.0,0,0,1,0
424,0,0.0,0,0,1,1
425,0,0.0,1,0,1,1
426,0,0.5405642963874484,0,0,0,1
427,0,0.5405642963874484,0,0,1,0
428,1,0.0,0,0,0,1
429,0,0.2702821481937242,1,0,1,0
430,1,1.0811285927748968,1,0,1,1
431,1,0.5405642963874484,0,0,0,1
432,1,1.0811285927748968,1,0,0,0
433,1,0.8108464445811726,1,0,1,0
434,1,0.0,0,1,1,1
435,1,0.2702821481937242,0,0,1,1
436,1,0.5405642963874484,0,0,0,0
437,1,0.2702821481937242,0,1,1,1
438,0,0.5405642963874484,0,0,1,0
439,1,1.351410740968621,0,0,1,0
440,1,0.8108464445811726,0,0,0,1
441,1,0.0,0,0,1,1
442,1,1.6216928891623452,0,0,1,0
443,0,0.2702821481937242,0,0,0,0
444,0,1.351410740968621,0,1,1,0
445,1,0.2702821481937242,0,0,1,0
446,1,0.2702821481937242,0,1,0,0
447,0,0.5405642963874484,0,0,1,0
448,0,0.5405642963874484,0,0,1,1
449,1,5.13536081568076,1,0,1,0
450,0,0.0,0,0,1,0
451,1,1.0811285927748968,0,0,1,1
452,0,0.0,1,0,0,0
453,1,0.2702821481937242,0,1,0,1
454,1,0.0,0,0,1,0
455,0,0.0,1,0,0,1
456,1,1.6216928891623452,0,0,1,1
457,0,0.0,0,1,1,1
458,1,5.13536081568076,1,0,1,0
459,0,1.6216928891623452,0,1,1,0
460,1,0.0,0,0,1,0
461,1,0.5405642963874484,1,0,1,0
462,1,0.2702821481937242,0,1,1,0
463,1,1.0811285927748968,0,0,0,0
464,1,0.2702821481937242,0,0,1,0
465,1,0.0,0,1,0,0
466,1,2.702821481937242,1,0,1,1
467,1,1.351410740968621,0,0,1,1
468,0,0.2702821481937242,1,0,0,1
469,0,0.2702821481937242,0,0,0,0
470,1,5.13536081568076,1,0,1,0
471,0,0.0,0,0,1,0
472,0,1.0811285927748968,1,0,1,1
473,0,0.8108464445811726,1,0,1,1
474,1,0.5405642963874484,0,0,1,1
475,1,1.351410740968621,0,0,1,0
476,1,1.0811285927748968,0,0,1,0
477,1,2.1622571855497936,1,0,1,0
478,1,1.0811285927748968,0,0,1,0
479,1,1.6216928891623452,1,0,1,1
480,1,0.8108464445811726,0,0,1,1
481,1,0.2702821481937242,0,0,1,0
482,0,0.5405642963874484,0,0,1,0
483,1,0.0,0,0,0,1
484,1,0.5405642963874484,0,0,1,0
485,0,0.0,0,1,1,1
486,1,1.351410740968621,0,0,1,0
487,1,3.7839500747121386,0,0,1,0
488,1,0.0,0,0,1,1
489,1,0.2702821481937242,0,0,1,1
490,1,0.0,0,0,1,1
491,0,0.0,0,0,1,1
492,1,0.5405642963874484,0,1,0,1
493,0,0.0,0,0,1,1
494,1,2.4325393337435175,0,0,1,1
495,0,0.0,0,0,0,0
496,0,1.351410740968621,0,0,1,0
497,0,0.0,0,1,0,0
498,0,0.5405642963874484,0,1,1,0
499,1,0.0,0,1,1,0
500,0,0.2702821481937242,0,1,1,0
501,0,1.0811285927748968,1,0,1,1
502,0,0.2702821481937242,0,0,0,1
503,1,0.2702821481937242,0,1,1,0
504,1,0.0,0,0,1,1
505,0,0.2702821481937242,1,0,1,1
506,1,0.0,0,0,1,1
507,1,0.8108464445811726,0,0,1,1
508,0,0.8108464445811726,0,0,0,1
509,0,0.0,0,1,0,0
510,1,4.865078667487035,1,0,1,0
511,0,1.0811285927748968,0,0,1,0
512,0,1.351410740968621,0,0,1,0
513,0,1.8919750373560693,1,0,1,0
514,1,2.4325393337435175,0,0,1,0
515,1,3.5136679265184143,0,0,1,0
516,1,1.6216928891623452,0,1,1,0
517,1,2.1622571855497936,0,0,1,0
518,0,4.594796519293311,0,0,1,0
519,1,0.2702821481937242,0,0,0,1
520,0,0.0,0,0,1,1
521,0,0.2702821481937242,0,0,1,1
522,0,0.5405642963874484,0,0,1,0
523,1,1.6216928891623452,0,1,1,0
524,1,1.6216928891623452,0,0,1,1
525,1,0.0,0,0,1,0
526,0,1.6216928891623452,0,0,1,0
527,1,0.8108464445811726,0,1,1,0
528,1,0.2702821481937242,0,1,1,0
529,1,0.8108464445811726,0,0,0,0
530,1,1.0811285927748968,0,0,0,0
531,1,0.0,1,0,0,1
532,1,0.0,0,1,0,0
533,0,0.8108464445811726,1,0,1,1
534,0,1.0811285927748968,0,0,1,0
535,1,1.0811285927748968,0,0,1,1
536,1,0.5405642963874484,0,1,1,1
537,0,2.1622571855497936,1,0,1,0
538,0,0.0,0,0,0,1
539,0,0.0,1,0,1,1
540,1,0.5405642963874484,0,0,1,1
541,0,0.0,0,0,0,1
542,0,1.351410740968621,0,0,1,0
543,1,0.8108464445811726,0,0,0,1
544,0,0.8108464445811726,0,0,0,0
545,0,0.5405642963874484,0,0,1,1
546,0,0.2702821481937242,0,0,1,0
547,0,0.0,1,0,1,0
548,0,0.5405642963874484,0,1,1,0
549,0,1.0811285927748968,0,0,0,0
550,1,1.8919750373560693,1,0,1,1
551,0,4.594796519293311,1,0,1,0
552,1,2.973103630130966,1,0,1,0
553,0,0.0,0,0,1,0
554,1,0.8108464445811726,1,0,1,0
555,1,0.0,0,1,1,0
556,1,4.0542322229058625,0,0,0,0
557,0,1.6216928891623452,0,0,1,0
558,1,0.0,0,1,1,1
559,0,0.0,0,0,1,1
560,1,1.6216928891623452,0,0,1,0
561,0,1.0811285927748968,1,0,1,1
562,1,0.5405642963874484,0,1,1,0
563,0,0.0,0,0,1,1
564,1,0.0,0,0,1,0
565,1,0.0,0,1,1,0
566,1,1.8919750373560693,0,0,1,0
567,0,0.0,0,0,1,0
568,1,0.0,0,0,1,1
569,1,3.5136679265184143,0,0,1,0
570,1,0.8108464445811726,0,0,1,0
571,1,0.2702821481937242,0,1,1,0
572,0,2.702821481937242,1,0,1,0
573,1,0.2702821481937242,0,1,1,0
574,0,0.0,1,0,1,0
575,1,0.8108464445811726,0,0,1,0
576,1,2.702821481937242,0,0,1,0
577,1,1.0811285927748968,0,0,1,1
578,1,0.0,0,0,1,1
579,0,0.0,1,0,1,0
580,1,0.5405642963874484,0,1,1,1
581,1,7.567900149424277,1,0,1,0
582,0,0.0,0,1,1,0
583,0,2.4325393337435175,0,1,1,1
584,1,0.0,0,0,1,1
585,1,2.973103630130966,0,1,0,1
586,0,1.8919750373560693,1,0,1,0
587,1,0.5405642963874484,0,1,1,1
588,0,0.5405642963874484,0,0,0,0
589,0,0.5405642963874484,1,0,1,0
590,1,0.8108464445811726,0,1,1,0
591,1,0.5405642963874484,1,0,1,1
592,0,0.2702821481937242,1,0,1,1
593,1,2.702821481937242,0,0,1,0
594,0,1.8919750373560693,0,0,0,0
595,0,1.351410740968621,0,0,1,1
596,1,0.0,0,0,1,1
597,1,1.8919750373560693,1,0,0,0
598,1,0.0,0,0,1,1
599,1,0.5405642963874484,0,0,1,0
600,1,1.0811285927748968,1,0,1,0
601,0,0.2702821481937242,0,1,0,1
602,1,0.2702821481937242,0,0,1,0
603,1,1.6216928891623452,0,0,1,0
604,1,2.4325393337435175,0,0,1,1
605,1,1.6216928891623452,0,0,1,1
606,1,6.216489408455656,1,0,1,0
607,1,0.2702821481937242,0,0,1,1
608,1,1.0811285927748968,0,0,1,1
609,1,0.0,0,1,1,0
610,1,0.0,0,1,0,1
611,0,1.6216928891623452,0,0,1,1
612,1,1.8919750373560693,0,0,1,1
613,1,0.0,1,0,0,0
614,0,0.0,0,0,1,0
615,0,1.351410740968621,0,0,1,1
616,0,0.0,0,0,1,0
617,1,0.0,0,1,1,0
618,0,1.351410740968621,0,0,1,0
619,1,0.0,0,1,0,0
620,1,0.0,0,0,1,1
621,1,0.8108464445811726,0,0,1,1
622,1,0.5405642963874484,0,0,0,0
623,1,0.8108464445811726,0,0,0,0
624,1,0.0,0,1,1,0
625,0,0.0,0,0,0,1
626,1,0.2702821481937242,0,1,1,1
627,1,0.5405642963874484,0,1,1,1
628,1,3.2433857783246904,0,0,1,0
629,0,0.5405642963874484,0,0,1,1
630,1,0.2702821481937242,0,1,1,0
631,1,1.6216928891623452,0,0,1,0
632,1,0.0,0,0,1,0
633,0,0.5405642963874484,0,0,1,0
634,1,2.1622571855497936,0,0,1,0
635,1,0.2702821481937242,0,0,0,0
636,0,0.2702821481937242,1,0,1,1
637,1,2.1622571855497936,0,0,1,0
638,1,3.7839500747121386,0,0,0,0
639,0,0.5405642963874484,0,0,1,0
640,0,0.0,0,0,1,1
641,1,1.0811285927748968,0,1,0,0
642,0,0.2702821481937242,1,0,1,0
643,1,0.5405642963874484,0,1,0,0
644,0,0.8108464445811726,0,0,1,1
645,0,0.0,1,0,1,1
646,1,0.2702821481937242,0,0,0,0
647,1,0.0,0,1,0,0
648,0,0.2702821481937242,0,0,0,1
649,1,2.4325393337435175,0,0,1,0
650,1,0.2702821481937242,1,0,1,0
651,1,0.0,0,0,1,0
652,0,0.5405642963874484,0,0,0,1
653,0,0.8108464445811726,0,0,1,0
654,0,0.8108464445811726,0,0,1,1
655,0,0.2702821481937242,0,0,1,0
656,0,0.0,0,0,1,0
657,1,0.2702821481937242,0,1,1,1
658,1,1.0811285927748968,0,0,1,1
659,1,1.6216928891623452,0,0,1,0
660,1,0.8108464445811726,0,0,0,0
661,1,0.0,0,1,1,1
662,0,1.8919750373560693,1,0,0,1
663,0,0.0,0,0,1,1
664,1,0.5405642963874484,0,0,1,0
665,1,2.4325393337435175,0,0,1,0
666,0,0.2702821481937242,0,0,1,1
667,0,1.0811285927748968,0,0,1,0
668,0,1.0811285927748968,0,0,0,0
669,1,0.5405642963874484,0,1,1,0
670,1,0.2702821481937242,0,0,1,0
671,0,0.2702821481937242,0,0,1,0
672,0,0.2702821481937242,1,0,1,0
673,0,0.2702821481937242,0,1,1,1
674,1,0.2702821481937242,0,1,1,1
675,0,0.5405642963874484,0,0,0,0
676,1,2.973103630130966,0,0,1,0
677,0,0.5405642963874484,1,0,1,0
678,1,0.2702821481937242,0,0,1,1
679,0,0.0,0,1,1,0
680,1,0.8108464445811726,0,0,1,0
681,0,0.0,0,0,1,0
682,0,2.1622571855497936,1,0,0,0
683,0,0.0,0,0,1,1
684,1,0.0,0,0,1,0
685,1,0.0,0,0,1,1
686,0,0.0,0,0,1,1
687,1,3.2433857783246904,0,0,1,1
688,1,0.2702821481937242,0,0,1,0
689,1,0.2702821481937242,0,0,1,1
690,0,2.702821481937242,0,0,1,0
691,1,1.351410740968621,0,0,1,0
692,0,2.702821481937242,0,0,1,0
693,0,1.351410740968621,0,0,1,1
694,0,1.6216928891623452,0,0,1,0
695,0,0.5405642963874484,0,0,0,0
696,1,0.5405642963874484,0,1,1,0
697,1,0.5405642963874484,0,0,1,1
698,1,0.2702821481937242,0,1,1,0
699,1,0.2702821481937242,1,0,1,0
700,1,0.0,0,0,1,0
701,1,0.8108464445811726,1,0,1,0
702,0,0.2702821481937242,0,1,1,1
703,0,1.0811285927748968,0,0,1,0
704,0,0.0,0,1,0,0
705,0,2.4325393337435175,0,1,0,1
706,1,1.8919750373560693,0,0,1,0
707,1,1.0811285927748968,0,0,1,0
708,0,0.2702821481937242,0,0,1,0
709,1,0.0,0,0,1,0
710,1,0.0,1,0,1,1
711,1,6.757053704843105,0,0,1,0
712,0,0.0,0,0,1,0
